family,block,plant,seed_g
L020,1,1,1.39
L020,1,2,4.54
L020,1,3,2.79
L020,1,4,0.42
L020,1,5,2.5
L04,1,1,0.84
L04,1,2,0.39
L04,1,3,0.62
L04,1,4,0.62
L04,1,5,0.62
L08,1,1,4.4
L08,1,2,1.25
L08,1,3,0.68
L08,1,4,2.11
L08,1,5,2.1
L105,1,1,1.49
L105,1,2,0.4
L105,1,3,0.18
L105,1,4,0.69
L105,1,5,0.71
L120,1,2,0.28
L120,1,3,3.65
L120,1,4,1.31
L120,1,5,1.31
L13,1,1,0.83
L13,1,2,2.81
L13,1,3,0.16
L13,1,5,1.23
L14,1,1,1.39
L14,1,2,4.45
L14,1,3,2.79
L14,1,4,0.42
L14,1,5,2.5
L25,1,1,0.29
L25,1,2,0.96
L25,1,4,0.42
L25,1,5,0.45
L30,1,1,0.76
L30,1,2,8.59
L30,1,3,0.34
L30,1,4,4.26
L30,1,5,3.49
L33,1,1,4.44
L33,1,2,2.5
L33,1,3,1.67
L33,1,4,1.08
L33,1,5,2.42
L46,1,1,1.57
L46,1,2,3.06
L46,1,3,1.09
L46,1,4,0.57
L46,1,5,1.57
L50,1,1,6.5
L50,1,2,6.87
L50,1,3,2.29
L50,1,4,4.95
L50,1,5,1.64
L56,1,1,0.5
L56,1,2,0.3
L56,1,3,0.2
L56,1,4,0.28
L56,1,5,0.13
L64,1,1,0.01
L64,1,2,1.16
L64,1,3,1.56
L64,1,4,0.12
L64,1,5,0.89
L66,1,1,0.51
L66,1,3,0.26
L66,1,4,0.26
L66,1,5,0.26
L72,1,1,0.54
L72,1,2,3.03
L72,1,3,1.02
L72,1,4,1.53
L72,1,5,1.53
L81,1,1,2.88
L81,1,4,0.21
L81,1,5,0.77
L89,1,1,7.32
L89,1,2,5.21
L89,1,3,9.4
L89,1,4,4.51
L89,1,5,6.41
L91,1,1,2.75
L91,1,2,1.15
L91,1,3,3.68
L91,1,4,3.31
L91,1,5,2.72
L020,2,1,1.92
L020,2,2,0.35
L020,2,3,2.48
L020,2,4,1.06
L020,2,5,0.98
L04,2,2,0.03
L04,2,3,3.6
L04,2,4,0.17
L04,2,5,0.95
L08,2,1,3.48
L08,2,2,1.71
L08,2,3,4.72
L08,2,4,3.3
L08,2,5,3.3
L105,2,1,9.57
L105,2,2,6.66
L105,2,3,7.21
L105,2,4,0.78
L105,2,5,4.56
L117,2,1,0.27
L117,2,3,0.17
L117,2,4,1.28
L117,2,5,0.64
L120,2,1,0.83
L120,2,2,7.26
L120,2,3,4.05
L120,2,4,4.05
L120,2,5,4.05
L13,2,1,0.87
L13,2,2,0.1
L13,2,3,1.1
L13,2,4,6.88
L13,2,5,2.69
L14,2,1,1.92
L14,2,2,0.35
L14,2,3,2.48
L14,2,4,1.06
L14,2,5,0.98
L25,2,1,0.06
L25,2,2,1.64
L25,2,3,1.91
L25,2,4,1.12
L25,2,5,1.2
L30,2,1,0.13
L30,2,2,0.06
L30,2,3,0.1
L30,2,4,0.1
L30,2,5,0.1
L33,2,1,1.15
L33,2,2,0.62
L33,2,3,0.4
L33,2,4,2.44
L33,2,5,1.15
L46,2,1,3.19
L46,2,2,0.54
L46,2,3,6.38
L46,2,4,8.5
L46,2,5,4.65
L50,2,1,0.57
L50,2,2,1.75
L50,2,3,1.16
L50,2,4,1.16
L50,2,5,1.16
L56,2,1,0.21
L56,2,2,0.97
L56,2,3,0.59
L56,2,4,0.48
L56,2,5,0.61
L64,2,1,0.61
L64,2,2,0.44
L64,2,3,1.14
L64,2,4,0.14
L64,2,5,1.46
L66,2,1,0.88
L66,2,2,3.98
L66,2,3,0.01
L66,2,4,1.62
L66,2,5,1.7
L72,2,1,0.28
L72,2,2,1.31
L72,2,3,3.37
L72,2,4,5.88
L72,2,5,4.52
L81,2,1,12.87
L81,2,2,2.79
L81,2,3,0.25
L81,2,4,6.25
L81,2,5,7.91
L89,2,1,14.56
L89,2,2,1.56
L89,2,3,12.69
L89,2,4,9.74
L89,2,5,3.59
L91,2,1,8.65
L91,2,2,0.16
L91,2,3,4.41
L91,2,4,3.2
L91,2,5,2.56
L020,3,1,3.55
L020,3,2,0.36
L020,3,3,0.03
L020,3,4,1.31
L020,3,5,1.29
L04,3,1,0.6
L04,3,2,0.16
L04,3,3,3.03
L04,3,4,2.47
L04,3,5,1.57
L08,3,1,0.26
L08,3,2,1.18
L08,3,3,0.2
L08,3,4,0.15
L08,3,5,0.05
L105,3,1,0.02
L105,3,2,2.23
L105,3,3,0.21
L105,3,4,0.57
L105,3,5,0.95
L117,3,1,3.47
L117,3,2,0.21
L117,3,3,0.04
L117,3,4,1.24
L117,3,5,1.24
L120,3,1,7.22
L120,3,2,0.01
L120,3,3,3.66
L120,3,4,3.47
L120,3,5,3.7
L13,3,1,0.34
L13,3,2,0.53
L14,3,1,3.55
L14,3,2,0.36
L14,3,3,0.03
L14,3,4,1.31
L14,3,5,1.31
L25,3,3,0.06
L25,3,4,0.02
L25,3,5,0.02
L30,3,1,4.89
L30,3,2,2.11
L30,3,3,8.6
L30,3,4,10.28
L30,3,5,6.47
L33,3,1,3.09
L33,3,2,2.82
L33,3,3,4.81
L33,3,4,4.31
L33,3,5,3.76
L46,3,1,1.01
L46,3,2,0.4
L46,3,3,2.31
L46,3,4,0.56
L46,3,5,0.56
L50,3,1,2.27
L50,3,2,0.03
L50,3,3,4.38
L50,3,4,1.65
L50,3,5,1.52
L56,3,1,1.57
L56,3,2,2.57
L56,3,3,0.25
L56,3,4,1.49
L56,3,5,0.71
L64,3,1,0.09
L64,3,3,0.04
L64,3,4,0.01
L66,3,1,0.89
L66,3,2,0.15
L66,3,3,1.05
L66,3,4,1.97
L66,3,5,1.02
L72,3,1,0.25
L72,3,2,0.35
L72,3,3,1.02
L72,3,4,1.45
L72,3,5,0.77
L81,3,1,0.4
L81,3,2,0.92
L81,3,3,2.51
L81,3,4,0.07
L81,3,5,1.33
L89,3,1,5.01
L89,3,2,1
L89,3,3,7.77
L89,3,4,0.35
L89,3,5,3.53
L91,3,2,7.05
L91,3,3,0.09
L91,3,4,0.95
L91,3,5,2.02
